100	96.10	732.00
83.3333333333	94.60	507.82
100	90.10	652.43
100	88.70	591.84
100	84.50	583.48
83.3333333333	89.20	580.83
66.6666666666	73.90	543.68
83.3333333333	88.70	602.07
66.6666666666	54.90	518.64
50	75.50	415.45
66.6666666666	64.90	530.48
66.6666666666	81.60	535.83
50	70.80	547.37
66.6666666666	78.70	502.46
100	92.00	625.82
50	79.30	511.11
66.6666666666	61.80	512.28
66.6666666666	73.70	516.67
66.6666666666	72.30	496.00
66.6666666666	59.90	552.00
50	55.20	508.24
66.6666666666	85.40	528.89
50	62.90	486.32
50	58.50	522.00
50	49.40	515.00
66.6666666666	82.80	580.00
66.6666666666	74.40	554.80
66.6666666666	55.60	562.90
66.6666666666	66.10	530.37
66.6666666666	63.60	506.98
66.6666666666	39.50	533.14
66.6666666666	86.40	552.67
100	92.60	595.00
83.3333333333	91.60	592.73
33.3333333333	80.90	439.00
50	76.50	494.67
50	81.30	508.00
50	87.20	506.19
50	67.20	493.68
50	62.10	501.29
50	77.50	473.78
50	80.80	499.15
83.3333333333	92.70	543.33
50	67.80	482.56
50	89.20	488.04
50	74.70	513.73
66.6666666666	88.10	515.42
83.3333333333	100.00	600.00
50	54.50	485.38
50	72.80	462.67
100	94.80	625.13
66.6666666666	73.70	534.98
50	78.80	484.16
66.6666666666	88.90	500.69
33.3333333333	70.20	518.36
50	73.40	476.55
50	61.80	476.88
50	85.20	480.71
66.6666666666	85.40	497.98
50	65.30	538.40
50	60.20	480.00
66.6666666666	79.00	491.65
100	98.40	600.00
83.3333333333	95.40	578.10
50	91.00	501.33
50	70.40	497.85
66.6666666666	61.10	542.73
50	89.70	494.29
50	75.20	494.94
33.3333333333	92.90	490.00
66.6666666666	87.40	523.50
66.6666666666	65.50	508.89
50	80.50	529.33
50	67.80	496.36
100	100.00	460.00
50	81.50	505.88
33.3333333333	77.10	470.81
50	84.30	508.57
50	77.20	470.48
50	56.00	527.16
66.6666666666	78.00	505.86
50	88.70	541.71
33.3333333333	83.60	447.14
50	69.00	481.89
50	87.60	489.17
66.6666666666	96.20	530.00
50	83.10	508.53
33.3333333333	79.50	521.82
33.3333333333	62.60	486.67
50	91.70	422.50
50	89.20	447.69
33.3333333333	86.00	501.41
66.6666666666	89.90	501.22
50	83.60	467.25
100	88.40	587.06
50	78.90	467.25
66.6666666666	82.30	538.08
83.3333333333	93.10	574.63
50	95.20	566.40
33.3333333333	77.90	479.24
50	100.00	481.43
50	76.70	511.43
50	81.10	488.78
33.3333333333	70.20	491.95
50	69.50	473.08
33.3333333333	90.50	461.25
50	82.10	452.86
50	83.70	486.67
50	71.40	507.41
66.6666666666	89.00	523.76
66.6666666666	75.40	533.08
50	58.90	489.35
50	96.00	499.69
33.3333333333	84.60	429.29
33.3333333333	96.30	518.33
50	78.20	478.82
33.3333333333	90.50	502.73
50	93.30	555.86
100	100.00	649.33
33.3333333333	93.60	408.00
50	82.00	463.09
50	78.00	495.40
100	95.70	584.00
66.6666666666	93.80	478.00
50	68.50	508.40
100	96.30	565.00
83.3333333333	85.60	515.28
50	76.90	491.43
50	59.30	479.12
50	78.20	462.50
50	72.80	519.60
50	86.70	514.55
66.6666666666	90.10	482.47
33.3333333333	80.90	487.06
33.3333333333	78.50	453.18
50	86.50	608.29
100	95.40	528.33
50	67.10	487.03
83.3333333333	98.70	529.60
83.3333333333	100.00	538.33
50	84.10	446.67
100	83.30	589.74
50	70.50	624.76
100	98.10	676.47
100	90.70	730.00
100	99.10	595.56
100	100.00	637.65
50	76.30	514.34
33.3333333333	80.80	513.33
66.6666666666	82.40	561.84
33.3333333333	86.60	476.36
66.6666666666	87.60	657.67
100	100.00	820.00
66.6666666666	91.80	576.03
50	59.40	542.70
66.6666666666	85.90	552.31
50	88.10	549.75
66.6666666666	85.40	581.94
50	84.20	664.14
33.3333333333	98.00	509.30
33.3333333333	83.20	528.11
33.3333333333	84.90	500.62
33.3333333333	77.30	449.41
33.3333333333	89.10	471.48
33.3333333333	95.00	500.00
100	92.70	667.44
33.3333333333	89.00	483.75
50	81.80	511.48
33.3333333333	84.70	479.51
83.3333333333	96.10	551.21
100	98.00	680.63
83.3333333333	72.40	641.43
50	66.60	511.08
50	75.40	494.39
66.6666666666	79.40	531.43
50	91.50	497.25
66.6666666666	96.30	562.31
50	66.90	490.00
50	61.90	489.44
50	68.50	522.93
50	84.80	524.39
66.6666666666	80.10	527.58
83.3333333333	97.60	542.67
33.3333333333	92.90	520.00
83.3333333333	96.20	590.29
83.3333333333	97.90	571.84
